date,timestamp,appid,ctxid,level,payload,6,7,8,9,10,11,12,13,14,15,16
06-26,10:25:28.416,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [1.550010] in Nchannel16,,,,,,,,,,,
06-26,10:25:28.416,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:25:28.416,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""1.55001""}",,,,,,,,,,,
06-26,10:25:28.416,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:25:28.419,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 381.75 :,,,,,,,,,,,
06-26,10:25:28.515,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""1.50001""}",,,,,,,,,,,
06-26,10:25:28.515,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:25:28.516,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [1.500010] in Nchannel16,,,,,,,,,,,
06-26,10:25:28.516,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:25:28.516,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 1.50001 :,,,,,,,,,,,
06-26,10:25:28.516,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:25:28.615,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:25:28.615,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""1.55001""}",,,,,,,,,,,
06-26,10:25:28.615,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [1.550010] in Nchannel16,,,,,,,,,,,
06-26,10:25:28.615,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:25:28.615,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:25:28.616,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 1.55001 :,,,,,,,,,,,
06-26,10:25:28.617,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [382.000000] in Nchannel16,,,,,,,,,,,
06-26,10:25:28.617,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:28.617,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:28.618,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""382""}",,,,,,,,,,,
06-26,10:25:28.618,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:28.709,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [1.500010] in Nchannel16,,,,,,,,,,,
06-26,10:25:28.709,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:25:28.709,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""1.50001""}",,,,,,,,,,,
06-26,10:25:28.709,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:25:28.709,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:25:28.810,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:25:28.811,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 1.55001 :,,,,,,,,,,,
06-26,10:25:28.811,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:25:28.811,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:25:28.811,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""1.55001""}",,,,,,,,,,,
06-26,10:25:28.812,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [1.550010] in Nchannel16,,,,,,,,,,,
06-26,10:25:28.813,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [381.750000] in Nchannel16,,,,,,,,,,,
06-26,10:25:28.813,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:28.813,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:28.814,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""381.75""}",,,,,,,,,,,
06-26,10:25:28.814,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:28.814,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 381.75 :,,,,,,,,,,,
06-26,10:25:28.961,2227,2327,I,"system_service: [SystemHalProtocol.cpp:operator():52]:receive value from power_dev: IPCL_PM_INFO_DEV_VOLTAGE:2,13900",,,,,,,,,,,
06-26,10:25:28.961,2227,2327,I,"system_service: [PowerModule.cpp:onEvent:460]:event IPCL_PM_INFO_DEV_VOLTAGE:2,13900 from <<< bsp",,,,,,,,,,,
06-26,10:25:28.961,2227,2336,I,"system_service: [PowerModule.cpp:onVoltageUpdated:1369]:Entering 2,13900",,,,,,,,,,,
06-26,10:25:28.961,2227,2336,I,system_service: [PowerModule.cpp:onVoltageUpdated:1404]:voltage updated battery_voltage_=13900,,,,,,,,,,,
06-26,10:25:29.008,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:29.008,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [382.000000] in Nchannel16,,,,,,,,,,,
06-26,10:25:29.008,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:29.009,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""382""}",,,,,,,,,,,
06-26,10:25:29.009,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 382 :,,,,,,,,,,,
06-26,10:25:29.009,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:29.032,0,0,I,kernel:,"IPCL:[info] ipcl_power_get_uevent_val: V850 Send PMRC PM2PA_INFO_REP_VOLTAGE: 2,13900",,,,,,,,,,
06-26,10:25:29.113,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [381.750000] in Nchannel16,,,,,,,,,,,
06-26,10:25:29.113,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:29.113,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:29.114,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:29.114,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""381.75""}",,,,,,,,,,,
06-26,10:25:29.315,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""1.50001""}",,,,,,,,,,,
06-26,10:25:29.315,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:25:29.316,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 1.50001 :,,,,,,,,,,,
06-26,10:25:29.317,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:25:29.317,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:25:29.318,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 382 :,,,,,,,,,,,
06-26,10:25:29.318,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""382""}",,,,,,,,,,,
06-26,10:25:29.318,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:29.319,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [1.500010] in Nchannel16,,,,,,,,,,,
06-26,10:25:29.320,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:29.320,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:29.320,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [382.000000] in Nchannel16,,,,,,,,,,,
06-26,10:25:29.408,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""381.75""}",,,,,,,,,,,
06-26,10:25:29.408,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [381.750000] in Nchannel16,,,,,,,,,,,
06-26,10:25:29.408,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:29.408,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:29.409,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 381.75 :,,,,,,,,,,,
06-26,10:25:29.409,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:29.514,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [382.000000] in Nchannel16,,,,,,,,,,,
06-26,10:25:29.514,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:29.514,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:29.514,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:29.514,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""382""}",,,,,,,,,,,
06-26,10:25:29.515,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 382 :,,,,,,,,,,,
06-26,10:25:29.715,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:29.715,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:29.715,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:29.715,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""381.75""}",,,,,,,,,,,
06-26,10:25:29.715,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [381.750000] in Nchannel16,,,,,,,,,,,
06-26,10:25:29.716,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 381.75 :,,,,,,,,,,,
06-26,10:25:29.913,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [1.450010] in Nchannel16,,,,,,,,,,,
06-26,10:25:29.913,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:25:29.913,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:25:29.914,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""1.45001""}",,,,,,,,,,,
06-26,10:25:29.914,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:25:29.915,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 1.45001 :,,,,,,,,,,,
06-26,10:25:30.013,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [1.500010] in Nchannel16,,,,,,,,,,,
06-26,10:25:30.013,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:25:30.013,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:25:30.014,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:25:30.014,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""1.50001""}",,,,,,,,,,,
06-26,10:25:30.015,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 1.50001 :,,,,,,,,,,,
06-26,10:25:30.207,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:30.208,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:30.208,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [382.000000] in Nchannel16,,,,,,,,,,,
06-26,10:25:30.209,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:30.209,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""382""}",,,,,,,,,,,
06-26,10:25:30.210,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 382 :,,,,,,,,,,,
06-26,10:25:30.391,2227,2422,I,"system_service: [DateTimeImpl.cpp:sync_time:85]:ipk_time 123: 5,26,10,25,29,0",,,,,,,,,,,
06-26,10:25:30.391,2227,2422,I,"system_service: [DateTimeImpl.cpp:sync_time:93]:time now 1687746330, ipk_time_t 1687746329",,,,,,,,,,,
06-26,10:25:30.428,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:30.428,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:30.428,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:30.428,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""381.75""}",,,,,,,,,,,
06-26,10:25:30.428,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [381.750000] in Nchannel16,,,,,,,,,,,
06-26,10:25:30.429,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 381.75 :,,,,,,,,,,,
06-26,10:25:30.540,0,0,E,kernel:,systemd[12042]: Failed at step EXEC spawning /usr/bin/srvassistor: No such file or directory,,,,,,,,,,
06-26,10:25:30.544,0,0,E,kernel:,systemd[1]: srvassistor.service failed.,,,,,,,,,,
06-26,10:25:30.613,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [1.450010] in Nchannel16,,,,,,,,,,,
06-26,10:25:30.613,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:25:30.613,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:25:30.614,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 1.45001 :,,,,,,,,,,,
06-26,10:25:30.614,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:25:30.614,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""1.45001""}",,,,,,,,,,,
06-26,10:25:30.616,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:30.616,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:30.617,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:30.617,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""381.5""}",,,,,,,,,,,
06-26,10:25:30.617,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [381.500000] in Nchannel16,,,,,,,,,,,
06-26,10:25:30.618,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 381.5 :,,,,,,,,,,,
06-26,10:25:30.712,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:30.713,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [381.750000] in Nchannel16,,,,,,,,,,,
06-26,10:25:30.713,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""381.75""}",,,,,,,,,,,
06-26,10:25:30.713,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:30.714,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 381.75 :,,,,,,,,,,,
06-26,10:25:30.714,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:31.017,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [1.400010] in Nchannel16,,,,,,,,,,,
06-26,10:25:31.017,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:25:31.017,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:25:31.019,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""1.40001""}",,,,,,,,,,,
06-26,10:25:31.019,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:25:31.019,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 1.40001 :,,,,,,,,,,,
06-26,10:25:31.113,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:25:31.113,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:25:31.113,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [1.450010] in Nchannel16,,,,,,,,,,,
06-26,10:25:31.114,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:25:31.114,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""1.45001""}",,,,,,,,,,,
06-26,10:25:31.115,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 1.45001 :,,,,,,,,,,,
06-26,10:25:31.117,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:31.117,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:31.118,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [381.500000] in Nchannel16,,,,,,,,,,,
06-26,10:25:31.120,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 381.5 :,,,,,,,,,,,
06-26,10:25:31.120,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:31.120,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""381.5""}",,,,,,,,,,,
06-26,10:25:31.208,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [1.400010] in Nchannel16,,,,,,,,,,,
06-26,10:25:31.208,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:25:31.208,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:25:31.209,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""1.40001""}",,,,,,,,,,,
06-26,10:25:31.209,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:25:31.210,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 1.40001 :,,,,,,,,,,,
06-26,10:25:31.288,0,0,I,kernel:,IPCL:[info] ipcl_hb_thread: Send heart beat 1687746331.217515,,,,,,,,,,
06-26,10:25:31.314,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:25:31.314,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:25:31.315,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:25:31.315,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""1.45001""}",,,,,,,,,,,
06-26,10:25:31.316,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 1.45001 :,,,,,,,,,,,
06-26,10:25:31.317,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:31.317,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""381.75""}",,,,,,,,,,,
06-26,10:25:31.318,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 381.75 :,,,,,,,,,,,
06-26,10:25:31.318,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:31.318,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:31.417,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_current ] received,,,,,,,,,,,
06-26,10:25:31.417,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_current,,,,,,,,,,,
06-26,10:25:31.418,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_current] = [1.400010] in Nchannel16,,,,,,,,,,,
06-26,10:25:31.419,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_current, value: {""sigVal"":""1.40001""}",,,,,,,,,,,
06-26,10:25:31.419,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_current"",",,,,,,,,,,,
06-26,10:25:31.420,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryCurrent   newValue= 1.40001 :,,,,,,,,,,,
06-26,10:25:31.514,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:31.514,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:31.515,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [382.000000] in Nchannel16,,,,,,,,,,,
06-26,10:25:31.515,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""382""}",,,,,,,,,,,
06-26,10:25:31.515,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:31.515,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 382 :,,,,,,,,,,,
06-26,10:25:31.613,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [381.750000] in Nchannel16,,,,,,,,,,,
06-26,10:25:31.613,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:31.613,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:31.615,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 381.75 :,,,,,,,,,,,
06-26,10:25:31.615,3412,5061,I,"vapi_addon:    ""CMD"" : ""ctrl.bms.powertrain_voltage"",",,,,,,,,,,,
06-26,10:25:31.615,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""381.75""}",,,,,,,,,,,
06-26,10:25:31.717,4345,4398,I,big_data: update sigal [ctrl.bms.powertrain_voltage] = [382.000000] in Nchannel16,,,,,,,,,,,
06-26,10:25:31.717,4345,4398,I,big_data: CDbusBigDataTrackClient: signame = ctrl.bms.powertrain_voltage,,,,,,,,,,,
06-26,10:25:31.717,4345,4398,I,big_data: CDbusBigDataTrackClient:: signal [ ctrl.bms.powertrain_voltage ] received,,,,,,,,,,,
06-26,10:25:31.719,3412,3412,I,SYSSET (settingApp)  PowerConSigMonitoring initEvent propertyChanged prop= batteryVoltage   newValue= 382 :,,,,,,,,,,,
06-26,10:25:31.719,3412,5061,I,"vapi_client: on notify: ctrl.bms.powertrain_voltage, value: {""sigVal"":""382""}",,,,,,,,,,,
